ID,name,Target,DOI,Patent number,Patent title,Efficacy Type,Model,Disease,Efficacy Data,Result,Units,Picture,Administration Time,Assay Method,Assay,Description
MG-6352,compound2352,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15,colorectal cancer,IC50,1242.3,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 displacement assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6352,compound2353,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15 RBM39 ternary complex,colorectal cancer,EC50,123.3,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 RBM39 ternary complex formation assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6352,compound2353,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Cell Line,HCT116 human colorectal carcinoma cells,colorectal cancer,IC50,,nM,"US438191172-1,US438191172-2,US438191172-3",3day,CellTiter-Glo Assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6353,compound2353,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15,colorectal cancer,IC50,1065.6,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 displacement assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6353,compound2354,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15 RBM39 ternary complex,colorectal cancer,EC50,155.2,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 RBM39 ternary complex formation assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6353,compound2354,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Cell Line,HCT116 human colorectal carcinoma cells,colorectal cancer,IC50,351.3,nM,"US438191172-1,US438191172-2,US438191172-3",3day,CellTiter-Glo Assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6354,compound2354,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15,colorectal cancer,IC50,328.3,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 displacement assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6354,compound2355,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15 RBM39 ternary complex,colorectal cancer,EC50,1,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 RBM39 ternary complex formation assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6354,compound2355,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Cell Line,HCT116 human colorectal carcinoma cells,colorectal cancer,IC50,5000,nM,"US438191172-1,US438191172-2,US438191172-3",3day,CellTiter-Glo Assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
MG-6355,compound2355,"RBM39,DCAF15",,643,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,Protein,DCAF15,colorectal cancer,IC50,4562,nM,"US438191172-1,US438191172-2,US438191172-3",3day,DCAF15 displacement assay,"HCT116 human colorectal carcinoma cells were used in these experiments. HCT116 cells were obtained from ATCC. CellTiter-Glo® Luminescent Cell Viability Assay Reagent was obtained from Promega.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.      About 3,000 cells were seeded into 96-well plate with 100 μL of media (DMEM supplemented with 10% FBS, 100 units penicillin, and 100 mg streptomycin per mL) the day before the experiment. For compound treatment, the master plate was prepared as follows: 100× compound stocks were prepared in a 96-well plate by 1 to 3 serial dilutions of 0.5 mM DMSO stocks. Each master plate contained serial dilution of 8 compounds, including the control compound E7820. 1 mL of 100× compound stock was added to each well of the assay plate to give final concentrations of 5, 1.67, 0.56, 0.19, 0.06, 0.02, 0.0069, 0.002, 0.0007, 0.0002, and 0 mM. Each concentration was tested in triplicate. After 3 days, cell viability was determined using CellTiter-Glo Luminescent Cell Viability Assay Reagent following the manufacturer's recommended protocol. Briefly, 50 mL of CellTiter-Glo reagent was added to each well of the assay plate and the contents were mixed for 3 minutes at 600 rpm on a shaker (Thermomixer R). The plate was immediately placed in a plate reader (Synergy 2) and the luminescence signal (0.5 second per well integration time) was determined. IC 50 values were calculated using Dotmatics software.","Tables 10—shows biological activities of selected compounds described herein in the CellTiter-Glo assay, DCAF15 displacement assay and DCAF15 RBM39 ternary complex formation assay. Compound numbers correspond to the numbers and structures provided in Tables 1-9 and Examples 1-23."
